-3.14,6.0000,0.0127,0.0127,0.0127,0.0127,0.0127,0.0127,0.0127,0.0127,0.0127,0.0127,6.1274
-2.99,6.0000,1.2081,1.1942,1.1714,1.1398,1.0999,1.0523,0.9976,0.9366,0.8700,0.7988,16.4687
-2.84,6.0000,2.3763,2.2691,2.0968,1.8687,1.5968,1.2955,0.9800,0.6660,0.3683,0.1003,19.6178
-2.69,6.0000,3.4912,3.1412,2.6047,1.9448,1.2369,0.5583,-0.0223,-0.4539,-0.7087,-0.7846,17.0075
-2.54,6.0000,4.5276,3.7328,2.5940,1.3415,0.2132,-0.6014,-1.0023,-0.9950,-0.6787,-0.2113,14.9204
-2.39,6.0000,5.4624,3.9909,2.0668,0.2696,-0.9249,-1.3060,-0.9751,-0.2672,0.4114,0.7547,15.4827
-2.24,6.0000,6.2745,3.8925,1.1281,-0.8964,-1.5667,-1.0222,0.0320,0.8014,0.8589,0.3180,15.8201
-2.09,6.0000,6.9457,3.4464,-0.0352,-1.7494,-1.3677,0.0352,1.0069,0.8479,-0.0352,-0.7097,14.3849
-1.94,6.0000,7.4609,2.6924,-1.1915,-1.9912,-0.4348,1.0659,0.9700,-0.1869,-0.8743,-0.4185,13.0922
-1.79,6.0000,7.8086,1.6980,-2.1105,-1.5374,0.7314,1.2900,-0.0416,-0.9833,-0.3478,0.6505,13.1579
-1.64,6.0000,7.9809,0.5519,-2.6094,-0.5466,1.5052,0.5379,-1.0114,-0.5258,0.7220,0.5105,13.1151
-1.49,6.0000,7.9739,-0.6436,-2.5887,0.6352,1.4712,-0.6213,-0.9649,0.6023,0.6641,-0.5783,11.9498
-1.34,6.0000,7.7879,-1.7815,-2.0526,1.5951,0.6478,-1.3103,0.0512,0.9623,-0.4311,-0.5923,10.8763
-1.19,6.0000,7.4270,-2.7603,-1.1078,1.9977,-0.5233,-1.0077,1.0158,0.0951,-0.8529,0.4945,10.7781
-1.04,6.0000,6.8992,-3.4925,0.0576,1.7025,-1.4135,0.0576,0.9597,-0.8934,0.0575,0.6623,10.5970
-0.89,6.0000,6.2166,-3.9128,1.2115,0.8126,-1.5452,1.0792,-0.0608,-0.7425,0.8781,-0.4008,9.5359
-0.74,6.0000,5.3943,-3.9835,2.1242,-0.3612,-0.8477,1.2842,-1.0202,0.3553,0.3271,-0.7190,8.5534
-0.59,6.0000,4.4509,-3.6984,2.6139,-1.4088,0.3047,0.5173,-0.9545,1.0000,-0.7348,0.2991,8.3893
-0.44,6.0000,3.4075,-3.0830,2.5832,-1.9643,1.2936,-0.6411,0.0703,0.3694,-0.6489,0.7613,8.1481
-0.29,6.0000,2.2876,-2.1921,2.0382,-1.8336,1.5883,-1.3143,1.0245,-0.7322,0.4506,-0.1914,7.1256
-0.14,6.0000,1.1163,-1.1054,1.0874,-1.0624,1.0307,-0.9929,0.9491,-0.9001,0.8463,-0.7884,6.1808
0.01,6.0000,-0.0800,0.0800,-0.0800,0.0800,-0.0800,0.0800,-0.0799,0.0799,-0.0799,0.0799,5.9999
0.16,6.0000,-1.2745,1.2583,-1.2314,1.1944,-1.1478,1.0923,-1.0287,0.9580,-0.8813,0.7997,5.7389
